image_id,folio,folio_num,side,section,illustration_type,has_illustration,canvas_id,image_service_url,width,height
_Front_cover_,[Front cover],0,,unknown,unknown,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006074,https://collections.library.yale.edu/iiif/2/1006074,2931,3865
_Inside_front_cover_,[Inside front cover],0,,unknown,unknown,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006075,https://collections.library.yale.edu/iiif/2/1006075,2812,3797
f001r,1r,1,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006076,https://collections.library.yale.edu/iiif/2/1006076,2972,3766
f001v,1v,1,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006077,https://collections.library.yale.edu/iiif/2/1006077,2804,3797
f002r,2r,2,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006078,https://collections.library.yale.edu/iiif/2/1006078,2691,3770
f002v,2v,2,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006079,https://collections.library.yale.edu/iiif/2/1006079,2771,3797
f003r,3r,3,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006080,https://collections.library.yale.edu/iiif/2/1006080,2691,3770
f003v,3v,3,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006081,https://collections.library.yale.edu/iiif/2/1006081,2762,3797
f004r,4r,4,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006082,https://collections.library.yale.edu/iiif/2/1006082,2682,3740
f004v,4v,4,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006083,https://collections.library.yale.edu/iiif/2/1006083,2768,3797
f005r,5r,5,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006084,https://collections.library.yale.edu/iiif/2/1006084,2636,3723
f005v,5v,5,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006085,https://collections.library.yale.edu/iiif/2/1006085,2759,3797
f006r,6r,6,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006086,https://collections.library.yale.edu/iiif/2/1006086,2662,3727
f006v,6v,6,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006087,https://collections.library.yale.edu/iiif/2/1006087,2753,3797
f007r,7r,7,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006088,https://collections.library.yale.edu/iiif/2/1006088,2656,3721
f007v,7v,7,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006089,https://collections.library.yale.edu/iiif/2/1006089,2806,3797
f008r,8r,8,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006090,https://collections.library.yale.edu/iiif/2/1006090,2660,3719
f008v,8v,8,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006091,https://collections.library.yale.edu/iiif/2/1006091,2791,3797
f009r,9r,9,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006092,https://collections.library.yale.edu/iiif/2/1006092,2691,3737
f009v,9v,9,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006093,https://collections.library.yale.edu/iiif/2/1006093,2812,3797
f010r,10r,10,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006094,https://collections.library.yale.edu/iiif/2/1006094,2691,3739
f010v,10v,10,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006095,https://collections.library.yale.edu/iiif/2/1006095,2839,3797
f011r,11r,11,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006096,https://collections.library.yale.edu/iiif/2/1006096,2672,3744
f011v,11v,11,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006097,https://collections.library.yale.edu/iiif/2/1006097,2825,3775
f013r,13r,13,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006098,https://collections.library.yale.edu/iiif/2/1006098,2601,3723
f013v,13v,13,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006099,https://collections.library.yale.edu/iiif/2/1006099,2812,3770
f014r,14r,14,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006100,https://collections.library.yale.edu/iiif/2/1006100,2662,3739
f014v,14v,14,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006101,https://collections.library.yale.edu/iiif/2/1006101,2812,3772
f015r,15r,15,r,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006102,https://collections.library.yale.edu/iiif/2/1006102,2648,3729
f015v,15v,15,v,herbal,botanical,True,https://collections.library.yale.edu/manifests/oid/2002046/canvas/1006103,https://collections.library.yale.edu/iiif/2/1006103,2835,3776
